title,genres,popularity,release_date
Insomnia,Crime|Mystery|Thriller,3.7556309999999997,24/05/2002
Mambo Italiano,Comedy|Romance,0.81891,06/06/2003
Mystic River,Thriller|Crime|Drama|Mystery,3.7648029999999997,07/10/2003
Snakes on a Plane,Action|Crime|Horror|Thriller,1.9178810000000002,06/08/2006
Brother,Crime|Drama|Thriller,1.574837,09/09/2000
Jurassic Park,Adventure|Science Fiction,3.020737,11/06/1993
Inspector Gadget,Action|Adventure|Comedy|Family,2.204748,23/07/1999
Bollywood - Hollywood,Drama|Comedy|Music|Romance,0.522036,01/01/2002
Magnolia,Drama,4.044102,08/12/1999
Once Upon a Time in the West,Western,4.675855,21/12/1968
"Duck, You Sucker",Western,1.203897,20/10/1971
Monsieur Ibrahim,Drama,1.064414,03/12/2003
"Good bye, Lenin!",Comedy|Drama|Romance,2.168429,09/02/2003
Night on Earth,Comedy|Drama,2.52516,03/10/1991
Everything is Illuminated,Comedy|Drama,1.622628,16/09/2005
A Crime,Crime|Thriller,0.533535,11/09/2006
Harold and Maude,Comedy|Drama|Romance,1.8471119999999999,20/12/1971
"Bang, Boom, Bang",Crime|Action|Comedy,0.532229,26/08/1999
Eyes Wide Shut,Mystery|Drama,4.177144999999999,14/07/1999
Seven Samurai,Action|Drama,5.7148699999999995,26/04/1954
People on Sunday,Drama,2.4173169999999997,04/02/1930
Alien,Horror|Action|Thriller|Science Fiction,8.1811,25/05/1979
The Devil Wears Prada,Comedy|Drama|Romance,5.193544999999999,30/06/2006
Head-On,Drama|Romance,1.354293,11/03/2004
Batman Returns,Action|Fantasy,6.5679050000000005,19/06/1992
A Nightmare on Elm Street,Horror,3.267874,14/11/1984
Raising Arizona,Comedy|Crime,1.4875770000000001,01/03/1987
Miller's Crossing,Drama|Thriller|Crime,2.203426,21/09/1990
Rain Man,Drama,2.8464490000000002,11/12/1988
To Catch a Thief,Crime|Drama|Mystery|Romance|Thriller,2.187964,03/08/1955
Das Boot,Action|Drama|History|War|Adventure,2.259307,16/09/1981
Inside Man,Crime|Drama|Thriller,2.602143,23/03/2006
12 Angry Men,Drama,5.203253,25/03/1957
A Fistful of Dollars,Western,4.12896,12/09/1964
Chocolat,Comedy|Drama|Romance,1.770905,14/12/2000
Kill Bill: Vol. 2,Action|Crime|Thriller,6.573441000000001,16/04/2004
AVP: Alien vs. Predator,Adventure|Science Fiction|Action,3.7897489999999996,12/08/2004
Who's Afraid of Virginia Woolf?,Drama,0.653455,21/06/1966
French Kiss,Comedy|Romance,1.9450740000000002,05/05/1995
Capote,Crime|Drama,0.939515,30/09/2005
Things to Do in Denver When You're Dead,Drama|Crime,1.014761,01/12/1995
Garden State,Comedy|Drama|Romance,3.1986630000000003,28/07/2004
Basic Instinct,Thriller|Mystery,3.543362,20/03/1992
Driving Miss Daisy,Comedy|Drama,1.869158,13/12/1989
The Straight Story,Drama,1.405045,15/10/1999
La Strada,Drama,1.21349,16/07/1954
La Haine,Drama,3.7084870000000003,31/05/1995
Snow White and the Seven Dwarfs,Fantasy|Animation|Family,5.853325,20/12/1937
The English Patient,Drama|Romance|War,3.5532769999999996,14/11/1996
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,7.9662869999999995,07/12/2005
Batman Forever,Action|Crime|Fantasy,3.655825,31/05/1995
Batman & Robin,Action|Crime|Fantasy,3.8613660000000003,20/06/1997
The Life Aquatic with Steve Zissou,Adventure|Comedy|Drama,1.671123,10/12/2004
8½,Fantasy|Drama,1.313483,14/02/1963
The Pianist,Drama|War,4.4233720000000005,24/09/2002
Schindler's List,Drama|History|War,6.520269,29/11/1993
Ice Age,Animation|Comedy|Family|Adventure,7.0791949999999995,10/03/2002
Vertigo,Mystery|Romance|Thriller,3.099806,09/05/1958
Mon oncle,Comedy,1.39349,10/05/1958
Summer '04,Drama|Romance,0.717745,11/10/2006
"The Good, the Bad and the Ugly",Western,7.0092229999999995,23/12/1966
"One, Two, Three",Comedy|Family,0.563761,15/12/1961
Cube,Thriller|Science Fiction|Mystery,3.5207,09/09/1997
Mary Poppins,Comedy|Family|Fantasy,4.882687000000001,27/08/1964
The Day After Tomorrow,Action|Adventure|Science Fiction|Thriller,3.8387550000000004,26/05/2004
Cube²: Hypercube,Thriller|Science Fiction|Mystery,2.6449130000000003,15/04/2002
Cube Zero,Mystery|Science Fiction|Thriller,2.374757,15/10/2004
La Dolce Vita,Comedy|Drama,1.639384,05/02/1960
Aliens vs Predator: Requiem,Fantasy|Action|Science Fiction|Thriller|Horror,2.533359,25/12/2007
Human Nature,Drama|Comedy,1.024461,18/05/2001
Caché,Mystery|Drama|Thriller,1.211027,02/05/2005
Leaving Las Vegas,Drama|Romance,1.907134,27/10/1995
The Idiots,Drama|Comedy,3.0521830000000003,28/04/1998
A Beautiful Mind,Drama|Romance,4.680261,11/12/2001
Romeo + Juliet,Drama|Romance,3.801444,31/10/1996
Bend It Like Beckham,Comedy|Drama|Romance,2.425541,11/04/2002
Sissi,Comedy|Drama|Romance,2.14379,22/12/1955
Sissi: The Young Empress,Drama|Comedy|Romance,1.7204959999999998,18/12/1956
Sissi: The Fateful Years of an Empress,Romance|Drama,2.304462,18/12/1957
Erin Brockovich,Drama,1.531849,17/03/2000
As It Is in Heaven,Romance|Drama|Comedy|Music,1.2118,03/09/2004
Junior Size 36,Romance|Drama,0.685557,03/03/1988
Klute,Mystery,0.9950600000000001,21/06/1971
The Hole,Crime|Drama|Horror|Thriller,1.297241,20/04/2001
My Own Private Idaho,Drama|Romance,0.775261,17/10/1991
Stranger Than Paradise,Comedy|Drama,1.545576,01/10/1984
21 Grams,Drama|Crime|Thriller,2.293393,06/09/2003
Bandyta,Drama,0.562508,01/01/1997
Pi,Mystery|Drama|Thriller,2.431781,10/07/1998
Bonnie and Clyde,Crime|Drama,2.3294029999999997,18/07/1967
Drugstore Cowboy,Crime|Drama,1.3456569999999999,09/09/1989
Shaft,Action|Adventure|Crime|Thriller,2.688234,15/06/2000
Monsoon Wedding,Comedy|Drama|Romance,0.8761479999999999,30/08/2001
7 Virgins,Drama,0.605064,14/10/2005
Shaft,Adventure|Action|Thriller|Crime,0.737047,02/07/1971
Wild at Heart,Comedy|Crime|Thriller,2.8484580000000004,01/05/1990
The African Queen,Adventure|War|Romance,1.564341,03/12/1951
Good Will Hunting,Drama,5.439261,05/12/1997
The Seventh Seal,Fantasy|Drama,1.306082,16/02/1957
Being John Malkovich,Fantasy|Drama|Comedy,2.050399,30/09/1999
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,3.5049309999999996,01/11/2006
The Green Mile,Fantasy|Drama|Crime,7.045011,10/12/1999
Reservoir Dogs,Crime|Thriller,7.062816000000001,25/06/1992
Grizzly Man,Documentary,0.9783430000000001,12/08/2005
Fail-Safe,Drama|History|Thriller,0.964707,07/10/1964
Poseidon,Adventure|Action|Drama|Thriller,1.676696,12/05/2006
Monster,Crime|Drama,1.228059,16/11/2003
Johnny Handsome,Crime|Drama,0.918853,12/09/1989
Marnie,Crime|Drama|Mystery|Thriller,2.074405,09/07/1964
Love Actually,Comedy|Romance|Drama,2.320419,07/09/2003
Notting Hill,Comedy,3.149738,13/05/1999
One Flew Over the Cuckoo's Nest,Drama,7.080675,18/11/1975
Scoop,Comedy|Mystery,1.9850709999999998,27/07/2006
Fire,Drama|Romance,1.0239559999999999,06/09/1996
Dial M for Murder,Crime|Mystery|Thriller,2.894719,29/05/1954
Ed Wood,Comedy|Drama|History,1.749883,27/09/1994
Casino,Drama|Crime,3.593376,22/11/1995
The Blues Brothers,Music|Comedy|Action|Crime,2.368476,17/06/1980
Ladyhawke,Adventure|Drama|Fantasy|Romance,2.852573,27/03/1985
Once Were Warriors,Drama,1.224734,02/09/1994
A Grand Day Out,Adventure|Animation|Comedy|Science Fiction|Family,2.283741,18/05/1990
The Wrong Trousers,Animation|Comedy|Family,1.609213,17/12/1993
A Close Shave,Family|Animation|Comedy,1.359881,24/12/1995
The Curse of the Were-Rabbit,Adventure|Animation|Comedy|Family,2.953922,04/09/2005
Terminator Salvation,Action|Science Fiction|Thriller,7.889061999999999,20/05/2009
Flashdance,Drama|Music|Romance,2.235785,14/04/1983
Psycho,Drama|Horror|Thriller,8.645792,16/06/1960
D.E.B.S.,Action,1.033557,21/01/2004
The Man with the Golden Arm,Crime|Drama|Romance,1.522345,14/12/1955
There's Something About Mary,Romance|Comedy,4.09952,15/07/1998
Transamerica,Drama,1.021778,23/12/2005
The Horse Whisperer,Drama|Romance,1.121184,14/05/1998
Rashomon,Crime|Drama|Mystery,1.0715219999999999,26/12/1950
Fight Club,Drama,14.496498,15/10/1999
The Poseidon Adventure,Action|Adventure,0.682095,01/12/1972
Bread and Tulips,Drama|Comedy|Romance,1.28388,03/03/2000
Dogville,Crime|Drama|Thriller,3.413018,19/05/2003
Spider-Man,Fantasy|Action,10.461762,01/05/2002
Spider-Man 2,Action|Adventure|Fantasy,4.420073,25/06/2004
Spider-Man 3,Fantasy|Action|Adventure,7.884836,01/05/2007
Constantine,Drama|Fantasy|Horror,4.7524,08/02/2005
Die Hard,Action|Thriller,6.0143,15/07/1988
Starship Troopers,Adventure|Action|Thriller|Science Fiction,4.0066,06/11/1997
The Mummy,Adventure|Action|Fantasy,6.524908,06/05/1999
The Ring,Horror|Mystery,3.409,18/10/2002
Rear Window,Drama|Mystery|Thriller,4.429175,01/08/1954
Apollo 13,Drama,5.957577,30/06/1995
Fat Girl,Drama,0.759275,07/03/2001
The Birds,Horror,5.030901,28/03/1963
Next Door,Horror|Mystery|Thriller,1.192549,10/03/2005
Frenzy,Crime|Drama|Mystery|Thriller,1.1157549999999998,25/05/1972
The Man Who Knew Too Much,Adventure|Crime|Drama|Mystery|Thriller,3.447607,01/06/1956
The Experiment,Drama|Thriller,1.412086,07/03/2001
The Wild Bunch,Adventure|Western,2.342939,17/06/1969
To Die For,Fantasy|Drama|Comedy|Thriller,2.072931,20/05/1995
Jaws,Horror|Thriller|Adventure,5.319813,18/06/1975
Jaws 2,Horror|Thriller,2.500123,16/06/1978
Jaws: The Revenge,Adventure|Thriller,2.690008,17/07/1987
Dances with Wolves,Adventure|Drama|Western,4.0230440000000005,09/11/1990
The Lives of Others,Drama|Thriller,1.742463,15/03/2006
Life of Brian,Comedy,3.755003,16/08/1979
2 Fast 2 Furious,Action|Crime|Thriller,0.765187,05/06/2003
"Monsters, Inc.",Animation|Comedy|Family,10.384317999999999,01/11/2001
Wag the Dog,Comedy|Drama,1.952475,25/12/1997
Big Fish,Adventure|Fantasy|Drama,2.768735,25/12/2003
Silent Hill,Horror|Mystery,2.3285099999999996,21/04/2006
The Hours,Drama,1.419263,27/12/2002
The Da Vinci Code,Thriller|Mystery,5.137319000000001,17/05/2006
The Conversation,Crime|Drama|Mystery,1.941077,07/04/1974
Solaris,Drama|Science Fiction|Adventure|Mystery,3.258493,20/03/1972
The Terminal,Comedy|Drama,3.245029,17/06/2004
To Kill a Mockingbird,Crime|Drama,2.38056,25/12/1962
The Grapes of Wrath,Drama,1.227585,15/03/1940
Titanic,Drama|Romance|Thriller,10.517521,18/11/1997
City of God,Drama|Crime,2.6417330000000003,05/02/2002
Sunset Boulevard,Drama,1.753512,10/08/1950
Full Metal Jacket,Drama|War,6.212642,26/06/1987
E.T. the Extra-Terrestrial,Science Fiction|Adventure|Family|Fantasy,7.127511999999999,03/04/1982
Independence Day,Action|Adventure|Science Fiction,5.017952999999999,25/06/1996
The Matrix,Action|Science Fiction,12.016524,30/03/1999
The Matrix Reloaded,Adventure|Action|Thriller|Science Fiction,5.346134999999999,15/05/2003
The Matrix Revolutions,Adventure|Action|Thriller|Science Fiction,4.19624,05/11/2003
Out of Africa,Drama,1.7724060000000001,20/12/1985
Men in Black,Action|Adventure|Comedy|Science Fiction,7.107064,01/07/1997
Men in Black II,Action|Adventure|Comedy|Science Fiction,6.152964,03/07/2002
Poltergeist,Horror,1.998271,04/06/1982
Munich,Drama|Action|History|Thriller,2.742811,22/12/2005
