Year,Ceremony,Award,Name,Film
1998,71,Foreign Language Film,Life Is Beautiful,Italy
1998,71,Makeup,Elizabeth,Jenny Shircore
1998,71,Music (Original Dramatic Score),Life Is Beautiful,Nicola Piovani
1998,71,Music (Original Musical or Comedy Score),Shakespeare in Love,Stephen Warbeck
1998,71,Music (Original Song),"""When You Believe"" from The Prince of Egypt",Music and Lyric by Stephen Schwartz
1998,71,Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
1998,71,Short Film (Animated),Bunny,Chris Wedge
1998,71,Short Film (Live Action),Election Night (Valgaften),"Kim Magnusson, Anders Thomas Jensen"
1998,71,Sound,Saving Private Ryan,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins"
1998,71,Sound Effects Editing,Saving Private Ryan,"Gary Rydstrom, Richard Hymns"
1998,71,Visual Effects,What Dreams May Come,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack"
1998,71,Writing (Screenplay Based on Material Previously Produced or Published),Gods and Monsters,Bill Condon
1998,71,Writing (Screenplay Written Directly for the Screen),Shakespeare in Love,"Marc Norman, Tom Stoppard"
1999,72,Actor in a Leading Role,Kevin Spacey,American Beauty
1999,72,Actor in a Supporting Role,Michael Caine,The Cider House Rules
1999,72,Actress in a Leading Role,Hilary Swank,Boys Don't Cry
1999,72,Actress in a Supporting Role,Angelina Jolie,"Girl, Interrupted"
1999,72,Art Direction,Sleepy Hollow,Art Direction: Rick Heinrichs; Set Decoration: Peter Young
1999,72,Cinematography,American Beauty,Conrad L. Hall
1999,72,Costume Design,Topsy-Turvy,Lindy Hemming
1999,72,Directing,American Beauty,Sam Mendes
1999,72,Documentary (Feature),One Day in September,"Arthur Cohn, Kevin Macdonald"
1999,72,Documentary (Short Subject),King Gimp,"Susan Hannah Hadary, William A. Whiteford"
1999,72,Film Editing,The Matrix,Zach Staenberg
1999,72,Foreign Language Film,All about My Mother,Spain
1999,72,Makeup,Topsy-Turvy,"Christine Blundell, Trefor Proud"
1999,72,Music (Original Score),The Red Violin,John Corigliano
1999,72,Music (Original Song),"""You'll Be In My Heart"" from Tarzan",Music and Lyric by Phil Collins
1999,72,Best Picture,American Beauty,"Bruce Cohen and Dan Jinks, Producers"
1999,72,Short Film (Animated),The Old Man and the Sea,Alexander Petrov
1999,72,Short Film (Live Action),My Mother Dreams the Satan's Disciples in New York,"Barbara Schock, Tammy Tiehel"
1999,72,Sound,The Matrix,"John Reitz, Gregg Rudloff, David Campbell, David Lee"
1999,72,Sound Effects Editing,The Matrix,Dane A. Davis
1999,72,Visual Effects,The Matrix,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum"
1999,72,Writing (Screenplay Based on Material Previously Produced or Published),The Cider House Rules,John Irving
1999,72,Writing (Screenplay Written Directly for the Screen),American Beauty,Alan Ball
2000,73,Actor in a Leading Role,Russell Crowe,Gladiator
2000,73,Actor in a Supporting Role,Benicio Del Toro,Traffic
2000,73,Actress in a Leading Role,Julia Roberts,Erin Brockovich
2000,73,Actress in a Supporting Role,Marcia Gay Harden,Pollock
2000,73,Art Direction,"Crouching Tiger, Hidden Dragon ",Tim Yip
2000,73,Cinematography,"Crouching Tiger, Hidden Dragon ",Peter Pau
2000,73,Costume Design,Gladiator,Janty Yates
2000,73,Directing,Traffic,Steven Soderbergh
2000,73,Documentary (Feature),Into the Arms of Strangers: Stories of the Kindertransport,"Mark Jonathan Harris, Deborah Oppenheimer"
2000,73,Documentary (Short Subject),Big Mama,Tracy Seretean
2000,73,Film Editing,Traffic,Stephen Mirrione
2000,73,Foreign Language Film,"Crouching Tiger, Hidden Dragon ",Taiwan
2000,73,Makeup,Dr. Seuss' How the Grinch Stole Christmas,"Rick Baker, Gail Ryan"
2000,73,Music (Original Score),"Crouching Tiger, Hidden Dragon ",Tan Dun
2000,73,Music (Original Song),"""Things Have Changed"" from Wonder Boys",Music and Lyric by Bob Dylan
2000,73,Best Picture,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers"
2000,73,Short Film (Animated),Father and Daughter,Michael Dudok de Wit
2000,73,Short Film (Live Action),Quiero Ser (I want to be...),Florian Gallenberger
2000,73,Sound,Gladiator,"Scott Millan, Bob Beemer, Ken Weston"
2000,73,Sound Editing,U-571,Jon Johnson
2000,73,Visual Effects,Gladiator,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey"
2000,73,Writing (Screenplay Based on Material Previously Produced or Published),Traffic,Screenplay by Stephen Gaghan
2000,73,Writing (Screenplay Written Directly for the Screen),Almost Famous,Written by Cameron Crowe
2001,74,Actor in a Leading Role,Denzel Washington,Training Day
2001,74,Actor in a Supporting Role,Jim Broadbent,Iris
2001,74,Actress in a Leading Role,Halle Berry,Monster's Ball
2001,74,Actress in a Supporting Role,Jennifer Connelly,A Beautiful Mind
2001,74,Animated Feature Film,Shrek,Aron Warner
2001,74,Art Direction,Moulin Rouge,Art Direction: Catherine Martin; Set Decoration: Brigitte Broch
2001,74,Cinematography,The Lord of the Rings: The Fellowship of the Ring,Andrew Lesnie
2001,74,Costume Design,Moulin Rouge,"Catherine Martin, Angus Strathie"
2001,74,Directing,A Beautiful Mind,Ron Howard
2001,74,Documentary (Feature),Murder on a Sunday Morning,"Jean-Xavier de Lestrade, Denis Poncet"
2001,74,Documentary (Short Subject),Thoth,"Sarah Kernochan, Lynn Appelle"
2001,74,Film Editing,Black Hawk Down,Pietro Scalia
2001,74,Foreign Language Film,No Man's Land,Bosnia & Herzegovina
2001,74,Makeup,The Lord of the Rings: The Fellowship of the Ring,"Peter Owen, Richard Taylor"
2001,74,Music (Original Score),The Lord of the Rings: The Fellowship of the Ring,Howard Shore
2001,74,Music (Original Song),"""If I Didn't Have You"" from Monsters, Inc.",Music and Lyric by Randy Newman
2001,74,Best Picture,A Beautiful Mind,"Brian Grazer and Ron Howard, Producers"
2001,74,Short Film (Animated),For the Birds,Ralph Eggleston
2001,74,Short Film (Live Action),the accountant,"Ray McKinnon, Lisa Blount"
2001,74,Sound,Black Hawk Down,"Michael Minkler, Myron Nettinga, Chris Munro"
2001,74,Sound Editing,Pearl Harbor,"George Watters II, Christopher Boyes"
2001,74,Visual Effects,The Lord of the Rings: The Fellowship of the Ring,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson"
2001,74,Writing (Screenplay Based on Material Previously Produced or Published),A Beautiful Mind,Written by Akiva Goldsman
2001,74,Writing (Screenplay Written Directly for the Screen),Gosford Park,Written by Julian Fellowes
2002,75,Actor in a Leading Role,Adrien Brody,The Pianist
2002,75,Actor in a Supporting Role,Chris Cooper,Adaptation
2002,75,Actress in a Leading Role,Nicole Kidman,The Hours
2002,75,Actress in a Supporting Role,Catherine Zeta-Jones,Chicago
2002,75,Animated Feature Film,Spirited Away,Hayao Miyazaki
2002,75,Art Direction,Chicago,Art Direction: John Myhre; Set Decoration: Gordon Sim
2002,75,Cinematography,Road to Perdition,Conrad L. Hall
2002,75,Costume Design,Chicago,Colleen Atwood
2002,75,Directing,The Pianist,Roman Polanski
2002,75,Documentary (Feature),Bowling for Columbine,"Michael Moore, Michael Donovan"
2002,75,Documentary (Short Subject),Twin Towers,"Bill Guttentag, Robert David Port"
2002,75,Film Editing,Chicago,Martin Walsh
2002,75,Foreign Language Film,Nowhere in Africa,Germany
2002,75,Makeup,Frida,"John Jackson, Beatrice De Alba"
2002,75,Music (Original Score),Frida,Elliot Goldenthal
2002,75,Music (Original Song),"""Lose Yourself"" from 8 Mile","Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem"
2002,75,Best Picture,Chicago,"Martin Richards, Producer"
2002,75,Short Film (Animated),The ChubbChubbs!,Eric Armstrong
2002,75,Short Film (Live Action),This Charming Man (Der Er En Yndig Mand),"Martin Strange-Hansen, Mie Andreasen"
2002,75,Sound,Chicago,"Michael Minkler, Dominick Tavella, David Lee"
2002,75,Sound Editing,The Lord of the Rings: The Two Towers,"Ethan Van der Ryn, Michael Hopkins"
2002,75,Visual Effects,The Lord of the Rings: The Two Towers,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke"
2002,75,Writing (Adapted Screenplay),The Pianist,Screenplay by Ronald Harwood
2002,75,Writing (Original Screenplay),Talk to Her,Written by Pedro Almodóvar
2003,76,Actor in a Leading Role,Sean Penn,Mystic River
2003,76,Actor in a Supporting Role,Tim Robbins,Mystic River
2003,76,Actress in a Leading Role,Charlize Theron,Monster
2003,76,Actress in a Supporting Role,Renée Zellweger,Cold Mountain
2003,76,Animated Feature Film,Finding Nemo,Andrew Stanton
2003,76,Art Direction,The Lord of the Rings: The Return of the King,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee
2003,76,Cinematography,Master and Commander: The Far Side of the World,Russell Boyd
2003,76,Costume Design,The Lord of the Rings: The Return of the King,Ngila Dickson and Richard Taylor
2003,76,Directing,The Lord of the Rings: The Return of the King,Peter Jackson
2003,76,Documentary (Feature),The Fog of War,Errol Morris and Michael Williams
2003,76,Documentary (Short Subject),Chernobyl Heart,Maryann DeLeo
2003,76,Film Editing,The Lord of the Rings: The Return of the King,Jamie Selkirk
2003,76,Foreign Language Film,The Barbarian Invasions,Canada
2003,76,Makeup,The Lord of the Rings: The Return of the King,Richard Taylor and Peter King
2003,76,Music (Original Score),The Lord of the Rings: The Return of the King,Howard Shore
2003,76,Music (Original Song),"""Into The West"" from The Lord of the Rings: The Return of the King",Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox
2003,76,Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
2003,76,Short Film (Animated),Harvie Krumpet,Adam Elliot
2003,76,Short Film (Live Action),Two Soldiers,Aaron Schneider and Andrew J. Sacks
2003,76,Sound Editing,Master and Commander: The Far Side of the World,Richard King
2003,76,Sound Mixing,The Lord of the Rings: The Return of the King,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
2003,76,Visual Effects,The Lord of the Rings: The Return of the King,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke"
2003,76,Writing (Adapted Screenplay),The Lord of the Rings: The Return of the King,"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson"
2003,76,Writing (Original Screenplay),Lost in Translation,Written by Sofia Coppola
2004,77,Actor in a Leading Role,Jamie Foxx,Ray
2004,77,Actor in a Supporting Role,Morgan Freeman,Million Dollar Baby
2004,77,Actress in a Leading Role,Hilary Swank,Million Dollar Baby
2004,77,Actress in a Supporting Role,Cate Blanchett,The Aviator
2004,77,Animated Feature Film,The Incredibles,Brad Bird
2004,77,Art Direction,The Aviator,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
2004,77,Cinematography,The Aviator,Robert Richardson
2004,77,Costume Design,The Aviator,Sandy Powell
2004,77,Directing,Million Dollar Baby,Clint Eastwood
2004,77,Documentary (Feature),Born into Brothels,Ross Kauffman and Zana Briski
2004,77,Documentary (Short Subject),Mighty Times: The Children's March,Robert Hudson and Bobby Houston
2004,77,Film Editing,The Aviator,Thelma Schoonmaker
2004,77,Foreign Language Film,The Sea Inside,Spain
2004,77,Makeup,Lemony Snicket's A Series of Unfortunate Events,Valli O'Reilly and Bill Corso
2004,77,Music (Original Score),Finding Neverland,Jan A.P. Kaczmarek
2004,77,Music (Original Song),"""Al Otro Lado Del Río"" from The Motorcycle Diaries",Music and Lyric by Jorge Drexler
2004,77,Best Picture,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
2004,77,Short Film (Animated),Ryan,Chris Landreth
2004,77,Short Film (Live Action),Wasp,Andrea Arnold
2004,77,Sound Editing,The Incredibles,Michael Silvers and Randy Thom
2004,77,Sound Mixing,Ray,"Scott Millan, Greg Orloff, Bob Beemer and Steve Cantamessa"
2004,77,Visual Effects,Spider-Man 2,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier"
2004,77,Writing (Adapted Screenplay),Sideways,Screenplay by Alexander Payne & Jim Taylor
2004,77,Writing (Original Screenplay),Eternal Sunshine of the Spotless Mind,Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth
2005,78,Actor in a Leading Role,Philip Seymour Hoffman,Capote
2005,78,Actor in a Supporting Role,George Clooney,Syriana
2005,78,Actress in a Leading Role,Reese Witherspoon,Walk the Line
2005,78,Actress in a Supporting Role,Rachel Weisz,The Constant Gardener
2005,78,Animated Feature Film,Wallace & Gromit in The Curse of the Were-Rabbit,Nick Park and Steve Box
2005,78,Art Direction,Memoirs of a Geisha,Art Direction: John Myhre; Set Decoration: Gretchen Rau
2005,78,Cinematography,Memoirs of a Geisha,Dion Beebe
2005,78,Costume Design,Memoirs of a Geisha,Colleen Atwood
2005,78,Directing,Brokeback Mountain,Ang Lee
2005,78,Documentary (Feature),March of the Penguins,Luc Jacquet and Yves Darondeau
2005,78,Documentary (Short Subject),A Note of Triumph: The Golden Age of Norman Corwin,Corinne Marrinan and Eric Simonson
2005,78,Film Editing,Crash,Hughes Winborne
2005,78,Foreign Language Film,Tsotsi,South Africa
2005,78,Makeup,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Howard Berger and Tami Lane
2005,78,Music (Original Score),Brokeback Mountain,Gustavo Santaolalla
2005,78,Music (Original Song),"""It's Hard Out Here For A Pimp"" from Hustle & Flow","Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard"
2005,78,Best Picture,Crash,"Paul Haggis and Cathy Schulman, Producers"
2005,78,Short Film (Animated),The Moon and the Son: An Imagined Conversation,John Canemaker and Peggy Stern
2005,78,Short Film (Live Action),Six Shooter,Martin McDonagh
2005,78,Sound Editing,King Kong,Mike Hopkins and Ethan Van der Ryn
2005,78,Sound Mixing,King Kong,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
2005,78,Visual Effects,King Kong,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor"
2005,78,Writing (Adapted Screenplay),Brokeback Mountain,Screenplay by Larry McMurtry & Diana Ossana
2005,78,Writing (Original Screenplay),Crash,Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis
2006,79,Actor in a Leading Role,Forest Whitaker,The Last King of Scotland
2006,79,Actor in a Supporting Role,Alan Arkin,Little Miss Sunshine
2006,79,Actress in a Leading Role,Helen Mirren,The Queen
2006,79,Actress in a Supporting Role,Jennifer Hudson,Dreamgirls
2006,79,Animated Feature Film,Happy Feet,George Miller
2006,79,Art Direction,Pan's Labyrinth,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta
2006,79,Cinematography,Pan's Labyrinth,Guillermo Navarro
2006,79,Costume Design,Marie Antoinette,Milena Canonero
2006,79,Directing,The Departed,Martin Scorsese
2006,79,Documentary (Feature),An Inconvenient Truth,Davis Guggenheim
2006,79,Documentary (Short Subject),The Blood of Yingzhou District,Ruby Yang and Thomas Lennon
2006,79,Film Editing,The Departed,Thelma Schoonmaker
2006,79,Foreign Language Film,The Lives of Others,Germany
2006,79,Makeup,Pan's Labyrinth,David Martí and Montse Ribé
2006,79,Music (Original Score),Babel,Gustavo Santaolalla
2006,79,Music (Original Song),"""I Need To Wake Up"" from An Inconvenient Truth",Music and Lyric by Melissa Etheridge
2006,79,Best Picture,The Departed,"Graham King, Producer"
2006,79,Short Film (Animated),The Danish Poet,Torill Kove
2006,79,Short Film (Live Action),West Bank Story,Ari Sandel
2006,79,Sound Editing,Letters from Iwo Jima,Alan Robert Murray and Bub Asman
2006,79,Sound Mixing,Dreamgirls,"Michael Minkler, Bob Beemer and Willie Burton"
2006,79,Visual Effects,Pirates of the Caribbean: Dead Man's Chest,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall"
2006,79,Writing (Adapted Screenplay),The Departed,Screenplay by William Monahan
2006,79,Writing (Original Screenplay),Little Miss Sunshine,Written by Michael Arndt
2007,80,Actor in a Leading Role,Daniel Day-Lewis,There Will Be Blood
2007,80,Actor in a Supporting Role,Javier Bardem,No Country for Old Men
2007,80,Actress in a Leading Role,Marion Cotillard,La Vie en Rose
2007,80,Actress in a Supporting Role,Tilda Swinton,Michael Clayton
2007,80,Animated Feature Film,Ratatouille,Brad Bird
2007,80,Art Direction,Sweeney Todd The Demon Barber of Fleet Street,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
2007,80,Cinematography,There Will Be Blood,Robert Elswit
2007,80,Costume Design,Elizabeth: The Golden Age,Alexandra Byrne
2007,80,Directing,No Country for Old Men,Joel Coen and Ethan Coen
2007,80,Documentary (Feature),Taxi to the Dark Side,Alex Gibney and Eva Orner
2007,80,Documentary (Short Subject),Freeheld,Cynthia Wade and Vanessa Roth
2007,80,Film Editing,The Bourne Ultimatum,Christopher Rouse
2007,80,Foreign Language Film,The Counterfeiters,Austria
2007,80,Makeup,La Vie en Rose,Didier Lavergne and Jan Archibald
2007,80,Music (Original Score),Atonement,Dario Marianelli
2007,80,Music (Original Song),"""Falling Slowly"" from Once",Music and Lyric by Glen Hansard and Marketa Irglova
2007,80,Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
2007,80,Short Film (Animated),Peter & the Wolf,Suzie Templeton and Hugh Welchman
2007,80,Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets),Philippe Pollet-Villard
2007,80,Sound Editing,The Bourne Ultimatum,Karen Baker Landers and Per Hallberg
2007,80,Sound Mixing,The Bourne Ultimatum,"Scott Millan, David Parker and Kirk Francis"
2007,80,Visual Effects,The Golden Compass,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood"
2007,80,Writing (Adapted Screenplay),No Country for Old Men,Written for the screen by Joel Coen & Ethan Coen
2007,80,Writing (Original Screenplay),Juno,Written by Diablo Cody
2008,81,Actor in a Leading Role,Sean Penn,Milk
2008,81,Actor in a Supporting Role,Heath Ledger,The Dark Knight
2008,81,Actress in a Leading Role,Kate Winslet,The Reader
2008,81,Actress in a Supporting Role,Penélope Cruz,Vicky Cristina Barcelona
2008,81,Animated Feature Film,WALL-E,Andrew Stanton
2008,81,Art Direction,The Curious Case of Benjamin Button,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo
2008,81,Cinematography,Slumdog Millionaire,Anthony Dod Mantle
2008,81,Costume Design,The Duchess,Michael O'Connor
2008,81,Directing,Slumdog Millionaire,Danny Boyle
2008,81,Documentary (Feature),Man on Wire,James Marsh and Simon Chinn
2008,81,Documentary (Short Subject),Smile Pinki,Megan Mylan
2008,81,Film Editing,Slumdog Millionaire,Chris Dickens
2008,81,Foreign Language Film,Departures,Japan
2008,81,Makeup,The Curious Case of Benjamin Button,Greg Cannom
2008,81,Music (Original Score),Slumdog Millionaire,A.R. Rahman
2008,81,Music (Original Song),"""Jai Ho"" from Slumdog Millionaire",Music by A.R. Rahman; Lyric by Gulzar
2008,81,Best Picture,Slumdog Millionaire,"Christian Colson, Producer"
2008,81,Short Film (Animated),La Maison en Petits Cubes,Kunio Kato
2008,81,Short Film (Live Action),Spielzeugland (Toyland),Jochen Alexander Freydank
2008,81,Sound Editing,The Dark Knight,Richard King
2008,81,Sound Mixing,Slumdog Millionaire,"Ian Tapp, Richard Pryke and Resul Pookutty"
2008,81,Visual Effects,The Curious Case of Benjamin Button,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"
2008,81,Writing (Adapted Screenplay),Slumdog Millionaire,Screenplay by Simon Beaufoy
2008,81,Writing (Original Screenplay),Milk,Written by Dustin Lance Black
2009,82,Actor in a Leading Role,Jeff Bridges,Crazy Heart
2009,82,Actor in a Supporting Role,Christoph Waltz,Inglourious Basterds
2009,82,Actress in a Leading Role,Sandra Bullock,The Blind Side
2009,82,Actress in a Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire
2009,82,Animated Feature Film,Up,Pete Docter
2009,82,Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair
2009,82,Cinematography,Avatar,Mauro Fiore
2009,82,Costume Design,The Young Victoria,Sandy Powell
2009,82,Directing,The Hurt Locker,Kathryn Bigelow
2009,82,Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens
2009,82,Documentary (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett
2009,82,Film Editing,The Hurt Locker,Bob Murawski and Chris Innis
2009,82,Foreign Language Film,The Secret in Their Eyes,Argentina
2009,82,Makeup,Star Trek,"Barney Burman, Mindy Hall and Joel Harlow"
2009,82,Music (Original Score),Up,Michael Giacchino
2009,82,Music (Original Song),"""The Weary Kind (Theme From Crazy Heart)"" from Crazy Heart",Music and Lyric by Ryan Bingham and T Bone Burnett
2009,82,Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
2009,82,Short Film (Animated),Logorama,Nicolas Schmerkin
2009,82,Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson
2009,82,Sound Editing,The Hurt Locker,Paul N.J. Ottosson
2009,82,Sound Mixing,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett
2009,82,Visual Effects,Avatar,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones"
2009,82,Writing (Adapted Screenplay),Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher
2009,82,Writing (Original Screenplay),The Hurt Locker,Written by Mark Boal
2010,83,Actor in a Leading Role,Colin Firth,The King's Speech
2010,83,Actor in a Supporting Role,Christian Bale,The Fighter
2010,83,Actress in a Leading Role,Natalie Portman,Black Swan
2010,83,Actress in a Supporting Role,Melissa Leo,The Fighter
2010,83,Animated Feature Film,Toy Story 3,Lee Unkrich
2010,83,Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
2010,83,Cinematography,Inception,Wally Pfister
2010,83,Costume Design,Alice in Wonderland,Colleen Atwood
2010,83,Directing,The King's Speech,Tom Hooper
2010,83,Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs
2010,83,Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon
2010,83,Film Editing,The Social Network,Angus Wall and Kirk Baxter
2010,83,Foreign Language Film,In a Better World,Denmark
2010,83,Makeup,The Wolfman,Rick Baker and Dave Elsey
2010,83,Music (Original Score),The Social Network,Trent Reznor and Atticus Ross
2010,83,Music (Original Song),"""We Belong Together"" from Toy Story 3",Music and Lyric by Randy Newman
2010,83,Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
2010,83,Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann
2010,83,Short Film (Live Action),God of Love,Luke Matheny
2010,83,Sound Editing,Inception,Richard King
2010,83,Sound Mixing,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
2010,83,Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
2010,83,Writing (Adapted Screenplay),The Social Network,Screenplay by Aaron Sorkin
2010,83,Writing (Original Screenplay),The King's Speech,Screenplay by David Seidler
2011,84,Actor in a Leading Role,Jean Dujardin,The Artist
2011,84,Actor in a Supporting Role,Christopher Plummer,Beginners
2011,84,Actress in a Leading Role,Meryl Streep,The Iron Lady
2011,84,Actress in a Supporting Role,Octavia Spencer,The Help
2011,84,Animated Feature Film,Rango,Gore Verbinski
2011,84,Art Direction,Hugo,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
2011,84,Cinematography,Hugo,Robert Richardson
2011,84,Costume Design,The Artist,Mark Bridges
2011,84,Directing,The Artist,Michel Hazanavicius
2011,84,Documentary (Feature),Undefeated,"TJ Martin, Dan Lindsay and Rich Middlemas"
2011,84,Documentary (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy
2011,84,Film Editing,The Girl with the Dragon Tattoo,Kirk Baxter and Angus Wall
2011,84,Foreign Language Film,A Separation,Iran
2011,84,Makeup,The Iron Lady,Mark Coulier and J. Roy Helland
2011,84,Music (Original Score),The Artist,Ludovic Bource
2011,84,Music (Original Song),"""Man Or Muppet"" from The Muppets",Music and Lyric by Bret McKenzie
2011,84,Best Picture,The Artist,"Thomas Langmann, Producer"
2011,84,Short Film (Animated),The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce and Brandon Oldenburg
2011,84,Short Film (Live Action),The Shore,Terry George and Oorlagh George
2011,84,Sound Editing,Hugo,Philip Stockton and Eugene Gearty
2011,84,Sound Mixing,Hugo,Tom Fleischman and John Midgley
2011,84,Visual Effects,Hugo,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning"
2011,84,Writing (Adapted Screenplay),The Descendants,Screenplay by Alexander Payne and Nat Faxon & Jim Rash
2011,84,Writing (Original Screenplay),Midnight in Paris,Written by Woody Allen
2012,85,Actor in a Leading Role,Daniel Day-Lewis,Lincoln
2012,85,Actor in a Supporting Role,Christoph Waltz,Django Unchained
2012,85,Actress in a Leading Role,Jennifer Lawrence,Silver Linings Playbook
2012,85,Actress in a Supporting Role,Anne Hathaway,Les Misérables
2012,85,Animated Feature Film,Brave,Mark Andrews and Brenda Chapman
2012,85,Cinematography,Life of Pi,Claudio Miranda
2012,85,Costume Design,Anna Karenina,Jacqueline Durran
2012,85,Directing,Life of Pi,Ang Lee
2012,85,Documentary (Feature),Searching for Sugar Man,Malik Bendjelloul and Simon Chinn
2012,85,Documentary (Short Subject),Inocente,Sean Fine and Andrea Nix Fine
2012,85,Film Editing,Argo,William Goldenberg
2012,85,Foreign Language Film,Amour,Austria
2012,85,Makeup and Hairstyling,Les Misérables,Lisa Westcott and Julie Dartnell
2012,85,Music (Original Score),Life of Pi,Mychael Danna
2012,85,Music (Original Song),"""Skyfall"" from Skyfall",Music and Lyric by Adele Adkins and Paul Epworth
2012,85,Best Picture,Argo,"Grant Heslov, Ben Affleck and George Clooney, Producers"
2012,85,Production Design,Lincoln,Production Design: Rick Carter; Set Decoration: Jim Erickson
2012,85,Short Film (Animated),Paperman,John Kahrs
2012,85,Short Film (Live Action),Curfew,Shawn Christensen
2012,85,Sound Editing,Skyfall,Per Hallberg and Karen Baker Landers
2012,85,Sound Editing,Zero Dark Thirty,Paul N.J. Ottosson
2012,85,Sound Mixing,Les Misérables,"Andy Nelson, Mark Paterson and Simon Hayes"
2012,85,Visual Effects,Life of Pi,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott"
2012,85,Writing (Adapted Screenplay),Argo,Screenplay by Chris Terrio
2012,85,Writing (Original Screenplay),Django Unchained,Written by Quentin Tarantino
2013,86,Actor in a Leading Role,Matthew McConaughey,Dallas Buyers Club
2013,86,Actor in a Supporting Role,Jared Leto,Dallas Buyers Club
2013,86,Actress in a Leading Role,Cate Blanchett,Blue Jasmine
2013,86,Actress in a Supporting Role,Lupita Nyong'o,12 Years a Slave
2013,86,Animated Feature Film,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho"
2013,86,Cinematography,Gravity,Emmanuel Lubezki
2013,86,Costume Design,The Great Gatsby,Catherine Martin
2013,86,Directing,Gravity,Alfonso Cuarón
2013,86,Documentary (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers"
2013,86,Documentary (Short Subject),The Lady in Number 6: Music Saved My Life,Malcolm Clarke and Nicholas Reed
2013,86,Film Editing,Gravity,Alfonso Cuarón and Mark Sanger
2013,86,Foreign Language Film,The Great Beauty,Italy
2013,86,Makeup and Hairstyling,Dallas Buyers Club,Adruitha Lee and Robin Mathews
2013,86,Music (Original Score),Gravity,Steven Price
2013,86,Music (Original Song),"""Let It Go"" from Frozen",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
