Year,Ceremony,Award,Name,Film
1960,33,Special Effects,The Time Machine,"Visual Effects by Gene Warren, Tim Baar"
1960,33,"Writing (Screenplay, Based on Material from Another Medium)",Elmer Gantry,Richard Brooks
1960,33,"Writing (Story and Screenplay, Written Directly for the Screen)",The Apartment,"Billy Wilder, I. A. L. Diamond"
1960,33,Honorary Award,Hayley Mills,Pollyanna
1961,34,Actor,Maximilian Schell,Judgment at Nuremberg
1961,34,Actor in a Supporting Role,George Chakiris,West Side Story
1961,34,Actress,Sophia Loren,Two Women
1961,34,Actress in a Supporting Role,Rita Moreno,West Side Story
1961,34,Art Direction (Black and White),The Hustler,Art Direction: Harry Horner; Set Decoration: Gene Callahan
1961,34,Art Direction (Color),West Side Story,Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin
1961,34,Cinematography (Black and White),The Hustler,Eugen Shuftan
1961,34,Cinematography (Color),West Side Story,Daniel L. Fapp
1961,34,Costume Design (Black and White),La Dolce Vita,Piero Gherardi
1961,34,Costume Design (Color),West Side Story,Irene Sharaff
1961,34,Directing,West Side Story,"Robert Wise, Jerome Robbins"
1961,34,Documentary (Feature),Le Ciel et la Boue (Sky Above and Mud Beneath),"Arthur Cohn and Rene Lafuite, Producers"
1961,34,Documentary (Short Subject),Project Hope,"Frank P. Bibas, Producer"
1961,34,Film Editing,West Side Story,Thomas Stanford
1961,34,Foreign Language Film,Through a Glass Darkly,Sweden
1961,34,Music (Music Score of a Dramatic or Comedy Picture),Breakfast at Tiffany's,Henry Mancini
1961,34,Music (Scoring of a Musical Picture),West Side Story,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal"
1961,34,Music (Song),"""Moon River"" from Breakfast at Tiffany's",Music by Henry Mancini; Lyrics by Johnny Mercer
1961,34,Best Motion Picture,West Side Story,"Robert Wise, Producer"
1961,34,Short Subject (Cartoon),Ersatz (The Substitute),Zagreb Film
1961,34,Short Subject (Live Action),Seawards the Great Ships,Templar Film Studios
1961,34,Sound,West Side Story,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director"
1961,34,Special Effects,The Guns of Navarone,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham
1961,34,"Writing (Screenplay, Based on Material from Another Medium)",Judgment at Nuremberg,Abby Mann
1961,34,"Writing (Story and Screenplay, Written Directly for the Screen)",Splendor in the Grass,William Inge
1961,34,Honorary Award,William L. Hendricks,A Force in Readiness
1962,35,Actor,Gregory Peck,To Kill a Mockingbird
1962,35,Actor in a Supporting Role,Ed Begley,Sweet Bird of Youth
1962,35,Actress,Anne Bancroft,The Miracle Worker
1962,35,Actress in a Supporting Role,Patty Duke,The Miracle Worker
1962,35,Art Direction (Black and White),To Kill a Mockingbird,"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert"
1962,35,Art Direction (Color),Lawrence of Arabia,"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni"
1962,35,Cinematography (Black and White),The Longest Day,"Jean Bourgoin, Walter Wottitz, (Henri Persin)"
1962,35,Cinematography (Color),Lawrence of Arabia,Fred A. Young
1962,35,Costume Design (Black and White),What Ever Happened to Baby Jane?,Norma Koch
1962,35,Costume Design (Color),The Wonderful World of the Brothers Grimm,Mary Wills
1962,35,Directing,Lawrence of Arabia,David Lean
1962,35,Documentary (Feature),Black Fox,"Louis Clyde Stoumen, Producer"
1962,35,Documentary (Short Subject),Dylan Thomas,"Jack Howells, Producer"
1962,35,Film Editing,Lawrence of Arabia,Anne Coates
1962,35,Foreign Language Film,Sundays and Cybele,France
1962,35,"Music (Music Score, Substantially Original)",Lawrence of Arabia,Maurice Jarre
1962,35,"Music (Scoring of Music, Adaptation or Treatment)",Meredith Willson's The Music Man,Ray Heindorf
1962,35,Music (Song),"""Days Of Wine And Roses"" from Days of Wine and Roses",Music by Henry Mancini; Lyrics by Johnny Mercer
1962,35,Best Picture,Lawrence of Arabia,"Sam Spiegel, Producer"
1962,35,Short Subject (Cartoon),The Hole,"John Hubley and Faith Hubley, Producers"
1962,35,Short Subject (Live Action),Heureux Anniversaire (Happy Anniversary),"Pierre Etaix and J.C. Carrière, Producers"
1962,35,Sound,Lawrence of Arabia,"Shepperton Studio Sound Department, John Cox, Sound Director"
1962,35,Special Effects,The Longest Day,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont
1962,35,"Writing (Screenplay, Based on Material from Another Medium)",To Kill a Mockingbird,Horton Foote
1962,35,"Writing (Story and Screenplay, Written Directly for the Screen)",Divorce--Italian Style,"Ennio de Concini, Alfredo Giannetti, Pietro Germi"
1963,36,Actor,Sidney Poitier,Lilies of the Field
1963,36,Actor in a Supporting Role,Melvyn Douglas,Hud
1963,36,Actress,Patricia Neal,Hud
1963,36,Actress in a Supporting Role,Margaret Rutherford,The V.I.P.s
1963,36,Art Direction (Black and White),America America,Gene Callahan
1963,36,Art Direction (Color),Cleopatra,"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer"
1963,36,Cinematography (Black and White),Hud,James Wong Howe
1963,36,Cinematography (Color),Cleopatra,Leon Shamroy
1963,36,Costume Design (Black and White),Federico Fellini's 8-1/2,Piero Gherardi
1963,36,Costume Design (Color),Cleopatra,"Irene Sharaff, Vittorio Nino Novarese, Renie"
1963,36,Directing,Tom Jones,Tony Richardson
1963,36,Documentary (Feature),Robert Frost: A Lover's Quarrel with the World,"Robert Hughes, Producer"
1963,36,Documentary (Short Subject),Chagall,"Simon Schiffrin, Producer"
1963,36,Film Editing,How the West Was Won,Harold F. Kress
1963,36,Foreign Language Film,Federico Fellini's 8-1/2,Italy
1963,36,"Music (Music Score, Substantially Original)",Tom Jones,John Addison
1963,36,"Music (Scoring of Music, Adaptation or Treatment)",Irma La Douce,Andre Previn
1963,36,Music (Song),"""Call Me Irresponsible"" from Papa's Delicate Condition",Music by James Van Heusen; Lyrics by Sammy Cahn
1963,36,Best Picture,Tom Jones,"Tony Richardson, Producer"
1963,36,Short Subject (Cartoon),The Critic,"Ernest Pintoff, Producer"
1963,36,Short Subject (Live Action),An Occurrence at Owl Creek Bridge,"Paul de Roubaix and Marcel Ichac, Producers"
1963,36,Sound,How the West Was Won,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1963,36,Sound Effects,"It's a Mad, Mad, Mad, Mad World ",Walter G. Elliott
1963,36,Special Effects,Cleopatra,"Emil Kosa, Jr."
1963,36,"Writing (Screenplay, Based on Material from Another Medium)",Tom Jones,John Osborne
1963,36,"Writing (Story and Screenplay, Written Directly for the Screen)",How the West Was Won,James R. Webb
1964,37,Actor,Rex Harrison,My Fair Lady
1964,37,Actor in a Supporting Role,Peter Ustinov,Topkapi
1964,37,Actress,Julie Andrews,Mary Poppins
1964,37,Actress in a Supporting Role,Lila Kedrova,Zorba the Greek
1964,37,Art Direction (Black and White),Zorba the Greek,Vassilis Fotopoulos
1964,37,Art Direction (Color),My Fair Lady,"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins"
1964,37,Cinematography (Black and White),Zorba the Greek,Walter Lassally
1964,37,Cinematography (Color),My Fair Lady,Harry Stradling
1964,37,Costume Design (Black and White),The Night of the Iguana,Dorothy Jeakins
1964,37,Costume Design (Color),My Fair Lady,Cecil Beaton
1964,37,Directing,My Fair Lady,George Cukor
1964,37,Documentary (Feature),Jacques-Yves Cousteau's World without Sun,"Jacques-Yves Cousteau, Producer"
1964,37,Documentary (Short Subject),Nine from Little Rock,"Charles Guggenheim, Producer"
1964,37,Film Editing,Mary Poppins,Cotton Warburton
1964,37,Foreign Language Film,"Yesterday, Today and Tomorrow ",Italy
1964,37,"Music (Music Score, Substantially Original)",Mary Poppins,"Richard M. Sherman, Robert B. Sherman"
1964,37,"Music (Scoring of Music, Adaptation or Treatment)",My Fair Lady,Andre Previn
1964,37,Music (Song),"""Chim Chim Cher-ee"" from Mary Poppins",Music and Lyrics by Richard M. Sherman and Robert B. Sherman
1964,37,Best Picture,My Fair Lady,"Jack L. Warner, Producer"
1964,37,Short Subject (Cartoon),The Pink Phink,"David H. DePatie and Friz Freleng, Producers"
1964,37,Short Subject (Live Action),Casals Conducts: 1964,"Edward Schreiber, Producer"
