geoid,geoname,precio,fecha
8745,Melilla,202.91083333333333,2021-08-20
8741,Península,140.77958333333333,2021-08-21
8742,Canarias,140.77958333333333,2021-08-21
8743,Baleares,140.77958333333333,2021-08-21
8744,Ceuta,140.77958333333333,2021-08-21
8745,Melilla,140.77958333333333,2021-08-21
8741,Península,131.74583333333334,2021-08-22
8742,Canarias,131.74583333333334,2021-08-22
8743,Baleares,131.74583333333334,2021-08-22
8744,Ceuta,131.74583333333334,2021-08-22
8745,Melilla,131.74583333333334,2021-08-22
8741,Península,185.0825,2021-08-23
8742,Canarias,185.0825,2021-08-23
8743,Baleares,185.0825,2021-08-23
8744,Ceuta,185.08833333333334,2021-08-23
8745,Melilla,185.08833333333334,2021-08-23
8741,Península,186.64333333333335,2021-08-24
8742,Canarias,186.64333333333335,2021-08-24
8743,Baleares,186.64333333333335,2021-08-24
8744,Ceuta,186.6475,2021-08-24
8745,Melilla,186.6475,2021-08-24
8741,Península,201.79083333333332,2021-08-25
8742,Canarias,201.79083333333332,2021-08-25
8743,Baleares,201.79083333333332,2021-08-25
8744,Ceuta,201.79333333333332,2021-08-25
8745,Melilla,201.79333333333332,2021-08-25
8741,Península,208.6325,2021-08-26
8742,Canarias,208.6325,2021-08-26
8743,Baleares,208.6325,2021-08-26
8744,Ceuta,208.63625,2021-08-26
8745,Melilla,208.63625,2021-08-26
8741,Península,204.8,2021-08-27
8742,Canarias,204.8,2021-08-27
8743,Baleares,204.8,2021-08-27
8744,Ceuta,204.80416666666667,2021-08-27
8745,Melilla,204.80416666666667,2021-08-27
8741,Península,142.09833333333333,2021-08-28
8742,Canarias,142.09833333333333,2021-08-28
8743,Baleares,142.09833333333333,2021-08-28
8744,Ceuta,142.09833333333333,2021-08-28
8745,Melilla,142.09833333333333,2021-08-28
8741,Península,134.6925,2021-08-29
8742,Canarias,134.6925,2021-08-29
8743,Baleares,134.6925,2021-08-29
8744,Ceuta,134.6925,2021-08-29
8745,Melilla,134.6925,2021-08-29
8741,Península,210.975,2021-08-30
8742,Canarias,210.975,2021-08-30
8743,Baleares,210.975,2021-08-30
8744,Ceuta,210.98208333333332,2021-08-30
8745,Melilla,210.98208333333332,2021-08-30
8741,Península,217.68666666666667,2021-08-31
8742,Canarias,217.68666666666667,2021-08-31
8743,Baleares,217.68666666666667,2021-08-31
8744,Ceuta,217.68916666666667,2021-08-31
8745,Melilla,217.68916666666667,2021-08-31
8741,Península,219.30458333333334,2021-09-01
8742,Canarias,219.30458333333334,2021-09-01
8743,Baleares,219.30458333333334,2021-09-01
8744,Ceuta,219.31833333333333,2021-09-01
8745,Melilla,219.31833333333333,2021-09-01
8741,Península,228.24125,2021-09-02
8742,Canarias,228.24125,2021-09-02
8743,Baleares,228.24125,2021-09-02
8744,Ceuta,228.25041666666667,2021-09-02
8745,Melilla,228.25041666666667,2021-09-02
8741,Península,225.66333333333333,2021-09-03
8742,Canarias,225.66333333333333,2021-09-03
8743,Baleares,225.66333333333333,2021-09-03
8744,Ceuta,225.665,2021-09-03
8745,Melilla,225.665,2021-09-03
8741,Península,169.325,2021-09-04
8742,Canarias,169.325,2021-09-04
8743,Baleares,169.325,2021-09-04
8744,Ceuta,169.325,2021-09-04
8745,Melilla,169.325,2021-09-04
8741,Península,164.44666666666666,2021-09-05
8742,Canarias,164.44666666666666,2021-09-05
8743,Baleares,164.44666666666666,2021-09-05
8744,Ceuta,164.44666666666666,2021-09-05
8745,Melilla,164.44666666666666,2021-09-05
8741,Península,221.03083333333333,2021-09-06
8742,Canarias,221.03083333333333,2021-09-06
8743,Baleares,221.03083333333333,2021-09-06
8744,Ceuta,221.02375,2021-09-06
8745,Melilla,221.02375,2021-09-06
8741,Península,214.53125,2021-09-07
8742,Canarias,214.53125,2021-09-07
8743,Baleares,214.53125,2021-09-07
8744,Ceuta,214.53166666666667,2021-09-07
8745,Melilla,214.53166666666667,2021-09-07
8741,Península,222.90208333333334,2021-09-08
8742,Canarias,222.90208333333334,2021-09-08
8743,Baleares,222.90208333333334,2021-09-08
8744,Ceuta,222.91333333333333,2021-09-08
8745,Melilla,222.91333333333333,2021-09-08
8741,Península,230.01375,2021-09-09
8742,Canarias,230.01375,2021-09-09
8743,Baleares,230.01375,2021-09-09
8744,Ceuta,230.02208333333334,2021-09-09
8745,Melilla,230.02208333333334,2021-09-09
8741,Península,242.86291666666668,2021-09-10
8742,Canarias,242.86291666666668,2021-09-10
8743,Baleares,242.86291666666668,2021-09-10
8744,Ceuta,242.86541666666668,2021-09-10
8745,Melilla,242.86541666666668,2021-09-10
8741,Península,186.98583333333335,2021-09-11
8742,Canarias,186.98583333333335,2021-09-11
8743,Baleares,186.98583333333335,2021-09-11
8744,Ceuta,186.98583333333335,2021-09-11
8745,Melilla,186.98583333333335,2021-09-11
8741,Península,181.34083333333334,2021-09-12
8742,Canarias,181.34083333333334,2021-09-12
8743,Baleares,181.34083333333334,2021-09-12
8744,Ceuta,181.34083333333334,2021-09-12
8745,Melilla,181.34083333333334,2021-09-12
8741,Península,246.04041666666666,2021-09-13
8742,Canarias,246.04041666666666,2021-09-13
8743,Baleares,246.04041666666666,2021-09-13
8744,Ceuta,246.03458333333333,2021-09-13
8745,Melilla,246.03458333333333,2021-09-13
8741,Península,243.42166666666665,2021-09-14
8742,Canarias,243.42166666666665,2021-09-14
8743,Baleares,243.42166666666665,2021-09-14
8744,Ceuta,243.4225,2021-09-14
8745,Melilla,243.4225,2021-09-14
8741,Península,266.5,2021-09-15
8742,Canarias,266.5,2021-09-15
8743,Baleares,266.5,2021-09-15
8744,Ceuta,266.5154166666667,2021-09-15
8745,Melilla,266.5154166666667,2021-09-15
8741,Península,242.285,2021-09-16
8742,Canarias,242.285,2021-09-16
8743,Baleares,242.285,2021-09-16
8744,Ceuta,242.29625,2021-09-16
8745,Melilla,242.29625,2021-09-16
8741,Península,218.42458333333335,2021-09-17
8742,Canarias,218.42458333333335,2021-09-17
8743,Baleares,218.42458333333335,2021-09-17
8744,Ceuta,218.42083333333332,2021-09-17
8745,Melilla,218.42083333333332,2021-09-17
8741,Península,195.81291666666667,2021-09-18
8742,Canarias,195.81291666666667,2021-09-18
8743,Baleares,195.81291666666667,2021-09-18
8744,Ceuta,195.81291666666667,2021-09-18
8745,Melilla,195.81291666666667,2021-09-18
8741,Península,183.34041666666667,2021-09-19
8742,Canarias,183.34041666666667,2021-09-19
8743,Baleares,183.34041666666667,2021-09-19
8744,Ceuta,183.34041666666667,2021-09-19
8745,Melilla,183.34041666666667,2021-09-19
8741,Península,209.83666666666667,2021-09-20
8742,Canarias,209.83666666666667,2021-09-20
8743,Baleares,209.83666666666667,2021-09-20
8744,Ceuta,209.82875,2021-09-20
8745,Melilla,209.82875,2021-09-20
8741,Península,201.23791666666668,2021-09-21
8742,Canarias,201.23791666666668,2021-09-21
8743,Baleares,201.23791666666668,2021-09-21
8744,Ceuta,201.23625,2021-09-21
8745,Melilla,201.23625,2021-09-21
8741,Península,227.80791666666667,2021-09-22
8742,Canarias,227.80791666666667,2021-09-22
8743,Baleares,227.80791666666667,2021-09-22
8744,Ceuta,227.82458333333332,2021-09-22
8745,Melilla,227.82458333333332,2021-09-22
8741,Península,216.33666666666667,2021-09-23
8742,Canarias,216.33666666666667,2021-09-23
8743,Baleares,216.33666666666667,2021-09-23
8744,Ceuta,216.34708333333333,2021-09-23
8745,Melilla,216.34708333333333,2021-09-23
8741,Península,224.95791666666668,2021-09-24
8742,Canarias,224.95791666666668,2021-09-24
8743,Baleares,224.95791666666668,2021-09-24
8744,Ceuta,224.96041666666667,2021-09-24
8745,Melilla,224.96041666666667,2021-09-24
8741,Península,201.80458333333334,2021-09-25
8742,Canarias,201.80458333333334,2021-09-25
8743,Baleares,201.80458333333334,2021-09-25
8744,Ceuta,201.80458333333334,2021-09-25
8745,Melilla,201.80458333333334,2021-09-25
8741,Península,197.70583333333335,2021-09-26
8742,Canarias,197.70583333333335,2021-09-26
8743,Baleares,197.70583333333335,2021-09-26
8744,Ceuta,197.70583333333335,2021-09-26
8745,Melilla,197.70583333333335,2021-09-26
8741,Península,227.43666666666667,2021-09-27
8742,Canarias,227.43666666666667,2021-09-27
8743,Baleares,227.43666666666667,2021-09-27
8744,Ceuta,227.43083333333334,2021-09-27
8745,Melilla,227.43083333333334,2021-09-27
8741,Península,235.62875,2021-09-28
8742,Canarias,235.62875,2021-09-28
8743,Baleares,235.62875,2021-09-28
8744,Ceuta,235.62833333333333,2021-09-28
8745,Melilla,235.62833333333333,2021-09-28
8741,Península,245.70625,2021-09-29
8742,Canarias,245.70625,2021-09-29
8743,Baleares,245.70625,2021-09-29
8744,Ceuta,245.72458333333333,2021-09-29
8745,Melilla,245.72458333333333,2021-09-29
8741,Península,246.1525,2021-09-30
8742,Canarias,246.1525,2021-09-30
8743,Baleares,246.1525,2021-09-30
8744,Ceuta,246.16416666666666,2021-09-30
