Sergey Gennadyevich Alifirenko,M,41.0,2000,Shooting,Gold
Sergey Gennadyevich Alifirenko,M,45.0,2004,Shooting,Bronze
Mirko Alilovi,M,26.0,2012,Handball,Bronze
Aline Pellegrino,F,22.0,2004,Football,Silver
Aleksey Aleksandrovich Alipov,M,29.0,2004,Shooting,Gold
Aleksey Aleksandrovich Alipov,M,32.0,2008,Shooting,Bronze
Alison Conte Cerutti,M,26.0,2012,Beach Volleyball,Silver
Alison Conte Cerutti,M,30.0,2016,Beach Volleyball,Gold
Deji Aliu,M,28.0,2004,Athletics,Bronze
Margarita Sergeyevna Aliychuk,F,17.0,2008,Rhythmic Gymnastics,Gold
Kimia Alizadeh Zenoorin,F,18.0,2016,Taekwondo,Bronze
