region,fecha,casos,omicron
West Midlands,06/11/2021,1084,False
West Midlands,07/11/2021,1096,False
West Midlands,08/11/2021,1401,False
West Midlands,08/11/2021,1,True
West Midlands,09/11/2021,1184,False
West Midlands,09/11/2021,1,True
West Midlands,10/11/2021,1161,False
West Midlands,11/11/2021,1269,False
West Midlands,12/11/2021,1306,False
West Midlands,13/11/2021,1269,False
West Midlands,14/11/2021,904,False
West Midlands,15/11/2021,2421,False
West Midlands,15/11/2021,2,True
West Midlands,16/11/2021,2883,False
West Midlands,17/11/2021,2008,False
West Midlands,17/11/2021,1,True
West Midlands,18/11/2021,2437,False
West Midlands,19/11/2021,2564,False
West Midlands,19/11/2021,1,True
West Midlands,20/11/2021,2106,False
West Midlands,20/11/2021,2,True
West Midlands,21/11/2021,2239,False
West Midlands,21/11/2021,3,True
West Midlands,22/11/2021,3034,False
West Midlands,22/11/2021,1,True
West Midlands,23/11/2021,2291,False
West Midlands,24/11/2021,2002,False
West Midlands,24/11/2021,2,True
West Midlands,25/11/2021,2098,False
West Midlands,25/11/2021,1,True
West Midlands,26/11/2021,1752,False
West Midlands,26/11/2021,3,True
West Midlands,27/11/2021,1179,False
West Midlands,27/11/2021,3,True
West Midlands,28/11/2021,1570,False
West Midlands,28/11/2021,1,True
West Midlands,29/11/2021,3177,False
West Midlands,29/11/2021,6,True
West Midlands,30/11/2021,3062,False
West Midlands,30/11/2021,6,True
West Midlands,01/12/2021,2984,False
West Midlands,01/12/2021,7,True
West Midlands,02/12/2021,2787,False
West Midlands,02/12/2021,7,True
West Midlands,03/12/2021,1947,False
West Midlands,03/12/2021,7,True
West Midlands,04/12/2021,794,False
West Midlands,04/12/2021,5,True
West Midlands,05/12/2021,1119,False
West Midlands,05/12/2021,10,True
West Midlands,06/12/2021,1826,False
West Midlands,06/12/2021,21,True
West Midlands,07/12/2021,1584,False
West Midlands,07/12/2021,38,True
West Midlands,08/12/2021,1577,False
West Midlands,08/12/2021,97,True
West Midlands,09/12/2021,1538,False
West Midlands,09/12/2021,137,True
West Midlands,10/12/2021,2423,False
West Midlands,10/12/2021,311,True
West Midlands,11/12/2021,1878,False
West Midlands,11/12/2021,344,True
West Midlands,12/12/2021,1741,False
West Midlands,12/12/2021,490,True
West Midlands,13/12/2021,1638,False
West Midlands,13/12/2021,773,True
Yorkshire and Humber,01/11/2021,3239,False
Yorkshire and Humber,01/11/2021,2,True
Yorkshire and Humber,02/11/2021,2641,False
Yorkshire and Humber,02/11/2021,4,True
Yorkshire and Humber,03/11/2021,2570,False
Yorkshire and Humber,03/11/2021,3,True
Yorkshire and Humber,04/11/2021,2297,False
Yorkshire and Humber,04/11/2021,3,True
Yorkshire and Humber,05/11/2021,2078,False
Yorkshire and Humber,05/11/2021,2,True
Yorkshire and Humber,06/11/2021,1782,False
Yorkshire and Humber,07/11/2021,1778,False
Yorkshire and Humber,08/11/2021,2706,False
Yorkshire and Humber,08/11/2021,2,True
Yorkshire and Humber,09/11/2021,2781,False
Yorkshire and Humber,09/11/2021,1,True
Yorkshire and Humber,10/11/2021,2648,False
Yorkshire and Humber,11/11/2021,2594,False
Yorkshire and Humber,12/11/2021,2562,False
Yorkshire and Humber,12/11/2021,1,True
Yorkshire and Humber,13/11/2021,2086,False
Yorkshire and Humber,13/11/2021,1,True
Yorkshire and Humber,14/11/2021,2154,False
Yorkshire and Humber,15/11/2021,3262,False
Yorkshire and Humber,16/11/2021,2875,False
Yorkshire and Humber,17/11/2021,2809,False
Yorkshire and Humber,18/11/2021,2808,False
Yorkshire and Humber,18/11/2021,2,True
Yorkshire and Humber,19/11/2021,2514,False
Yorkshire and Humber,19/11/2021,1,True
Yorkshire and Humber,20/11/2021,2032,False
Yorkshire and Humber,20/11/2021,1,True
Yorkshire and Humber,21/11/2021,1991,False
Yorkshire and Humber,21/11/2021,1,True
Yorkshire and Humber,22/11/2021,2922,False
Yorkshire and Humber,22/11/2021,3,True
Yorkshire and Humber,23/11/2021,2760,False
Yorkshire and Humber,23/11/2021,1,True
Yorkshire and Humber,24/11/2021,2632,False
Yorkshire and Humber,24/11/2021,3,True
Yorkshire and Humber,25/11/2021,2446,False
Yorkshire and Humber,25/11/2021,2,True
Yorkshire and Humber,26/11/2021,2203,False
Yorkshire and Humber,26/11/2021,1,True
Yorkshire and Humber,27/11/2021,1472,False
Yorkshire and Humber,27/11/2021,1,True
Yorkshire and Humber,28/11/2021,1865,False
Yorkshire and Humber,28/11/2021,1,True
Yorkshire and Humber,29/11/2021,3182,False
Yorkshire and Humber,30/11/2021,3090,False
Yorkshire and Humber,30/11/2021,4,True
Yorkshire and Humber,01/12/2021,2905,False
Yorkshire and Humber,01/12/2021,5,True
Yorkshire and Humber,02/12/2021,2724,False
Yorkshire and Humber,02/12/2021,4,True
Yorkshire and Humber,03/12/2021,2369,False
Yorkshire and Humber,03/12/2021,5,True
Yorkshire and Humber,04/12/2021,1888,False
Yorkshire and Humber,04/12/2021,3,True
Yorkshire and Humber,05/12/2021,1933,False
Yorkshire and Humber,05/12/2021,13,True
Yorkshire and Humber,06/12/2021,2855,False
Yorkshire and Humber,06/12/2021,22,True
Yorkshire and Humber,07/12/2021,2571,False
Yorkshire and Humber,07/12/2021,61,True
Yorkshire and Humber,08/12/2021,2611,False
Yorkshire and Humber,08/12/2021,99,True
Yorkshire and Humber,09/12/2021,2501,False
Yorkshire and Humber,09/12/2021,141,True
Yorkshire and Humber,10/12/2021,2023,False
Yorkshire and Humber,10/12/2021,159,True
Yorkshire and Humber,11/12/2021,1722,False
Yorkshire and Humber,11/12/2021,223,True
Yorkshire and Humber,12/12/2021,1590,False
Yorkshire and Humber,12/12/2021,337,True
Yorkshire and Humber,13/12/2021,1778,False
Yorkshire and Humber,13/12/2021,702,True
